HMDBID,Genus,Metabolite,Health effect,Health effect Class,Organoleptic effect,Correlation_Type,Control,Obesity,T2D
HMDB0000254,Muribaculaceae,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.604972898,-0.374888623,-0.493102853
HMDB0000254,Odoribacter,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.515737865,0.544857964,0.29386568
HMDB0000254,Oribacterium,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.32,0.42391165,0.302764652
HMDB0000254,Phascolarctobacterium,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.375218299,-0.355097801,-0.289294345
HMDB0000254,Prevotellaceae_UCG-003,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.5,0.238311294,0.124642489
HMDB0000254,Rikenellaceae_RC9_gut_group,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.560519567,0.249075896,0.36263665
HMDB0000254,UCG-003,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.63441632,0.287441468,0.271100994
HMDB0000131,Acinetobacter,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.45763359,-0.352708415,-0.406835179
HMDB0000131,Anaerobiospirillum,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.478885438,-0.47942809,-0.31702
HMDB0000131,Butyricicoccus,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.497517685,-0.557710908,-0.347951759
HMDB0000131,Christensenellaceae_R-7_group,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.436524758,-0.490450736,-0.310797967
HMDB0000131,Coprococcus,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,positive,0.403934466,0.384696097,0.519767896
HMDB0000131,Helicobacter,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.558885438,-0.469760407,-0.277206433
HMDB0000131,Lachnospira,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.303934466,-0.466705238,-0.414318208
HMDB0000131,Lachnospiraceae_UCG-010,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.536524758,-0.347150217,-0.253604391
HMDB0000131,Weissella,"1,2,3-propanetriol",Circulatory system disorder,Cardiovascular,Odor,negative,-0.476524758,-0.613734808,-0.267432551
HMDB0014693,Acinetobacter,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.410139317,-0.456751359,-0.455149432
HMDB0014693,Allisonella,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,positive,0.288133745,0.62733399,0.560150065
HMDB0014693,Anaerobiospirillum,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.583468106,-0.40515777,-0.267855074
HMDB0014693,Atopobium,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,positive,0.618885438,0.624442691,0.287756399
HMDB0014693,Christensenellaceae_R-7_group,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.532404532,-0.531826576,-0.315632154
HMDB0014693,Coprococcus,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,positive,0.406171957,0.375890112,0.545442617
HMDB0014693,Defluviitaleaceae_UCG-011,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.486087941,-0.461125542,-0.408054873
HMDB0014693,Helicobacter,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.470421511,-0.510327812,-0.269358825
HMDB0014693,Howardella,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.614442719,-0.46037811,-0.200655828
HMDB0014693,Lachnospira,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.562017926,-0.469463104,-0.49344806
HMDB0014693,Lactococcus,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.589087864,-0.463789205,-0.475122883
HMDB0014693,Megasphaera,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,positive,0.425325324,0.319939981,0.288173447
HMDB0014693,Phascolarctobacterium,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.343636969,-0.373446061,-0.384797062
HMDB0014693,Shewanella,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.432408917,-0.23607813,-0.346608657
HMDB0014693,UCG-009,8-methoxypsoralen,Circulatory system disorder,Cardiovascular,Odor,negative,-0.557999007,-0.457889926,-0.41365098
HMDB0014645,Acinetobacter,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.403832044,0.447220946,0.350121787
HMDB0014645,Akkermansia,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.395481706,0.536320411,0.53989587
HMDB0014645,Alistipes,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.290038121,0.465701829,0.369169406
HMDB0014645,Alloprevotella,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.526797522,-0.422372271,-0.465276457
HMDB0014645,Asteroleplasma,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.383516887,-0.484452994,-0.553582736
HMDB0014645,Atopobium,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.544367847,-0.48854857,-0.539312099
HMDB0014645,Avibacterium,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.197301595,0.392775557,0.443253561
HMDB0014645,Butyricicoccus,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.432589089,0.424803814,0.553523147
HMDB0014645,Butyricimonas,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.355900195,0.508578088,0.550394939
HMDB0014645,Butyrivibrio,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.441215948,-0.545365749,-0.574265009
HMDB0014645,Catenibacterium,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.441200862,0.454374071,0.434906298
HMDB0014645,Christensenellaceae_R-7_group,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.48571607,0.228457229,0.46419894
HMDB0014645,Clostridium,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.332599864,0.494852521,0.434541316
HMDB0014645,Comamonas,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.535175064,0.614956988,0.335140867
HMDB0014645,Coriobacteriaceae_UCG-003,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.456601152,0.650440024,0.419800219
HMDB0014645,Defluviitaleaceae_UCG-011,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.482517061,0.368740518,0.557133478
HMDB0014645,Desulfovibrio,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.422480368,0.605089525,0.431560812
HMDB0014645,Elusimicrobium,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.443075097,0.381178262,0.522523993
HMDB0014645,Escherichia-Shigella,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.524212258,0.407198651,0.3450818
HMDB0014645,Faecalibacterium,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.310651826,0.532931187,0.326520825
HMDB0014645,Family_XIII_UCG-001,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.356674759,0.42888487,0.420146144
HMDB0014645,GCA-900066575,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.306128856,0.46248225,0.363295173
HMDB0014645,Herbaspirillum,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.154552497,0.509851022,0.311074168
HMDB0014645,Howardella,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.342676387,0.461371698,0.436463432
HMDB0014645,Incertae_Sedis,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.541660087,0.366919046,0.614253159
HMDB0014645,Lachnospira,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.439332092,0.610195735,0.678971298
HMDB0014645,Lachnospiraceae_UCG-010,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.418140336,0.3891226,0.622384605
HMDB0014645,Lactobacillus,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.295952392,0.382602062,0.275703933
HMDB0014645,Lactococcus,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.422247881,0.435881392,0.503763499
HMDB0014645,Libanicoccus,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.578553125,0.438252324,0.563421584
HMDB0014645,Megasphaera,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.481942499,-0.487762274,-0.544763992
HMDB0014645,Monoglobus,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.451149912,0.365122759,0.57178575
HMDB0014645,NK4A214_group,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.521786909,0.326995791,0.411887508
HMDB0014645,Paraprevotella,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.294905715,-0.609909019,-0.4081336
HMDB0014645,Parasutterella,haloperidol,Circulatory system disorder,Cardiovascular,,negative,-0.560383797,-0.507257155,-0.756621604
HMDB0014645,Prevotellaceae_UCG-003,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.482507322,0.512339923,0.409891347
HMDB0014645,Rikenellaceae_RC9_gut_group,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.531050734,0.472321717,0.602502739
HMDB0014645,Romboutsia,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.407100047,0.44344326,0.402002191
HMDB0014645,Subdoligranulum,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.417184127,0.435881489,0.595787358
HMDB0014645,UCG-002,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.495161665,0.33285254,0.559854158
HMDB0014645,UCG-003,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.411727971,0.43471113,0.440458936
HMDB0014645,UCG-005,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.412602297,0.41386433,0.537069936
HMDB0014645,UCG-010,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.615663761,0.285283241,0.691892763
HMDB0014645,Weissella,haloperidol,Circulatory system disorder,Cardiovascular,,positive,0.522442653,0.52755496,0.512659236
HMDB0001545,Acinetobacter,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.532857619,-0.440415909,-0.544398896
HMDB0001545,Atopobium,pyridoxal,Circulatory system disorder,Cardiovascular,,positive,0.561421356,0.535616512,0.29711662
HMDB0001545,Butyricicoccus,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.51785113,-0.570520966,-0.345168089
HMDB0001545,Christensenellaceae_R-7_group,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.621421356,-0.383409064,-0.383659176
HMDB0001545,Colidextribacter,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.561421356,-0.298461395,-0.37586983
HMDB0001545,Defluviitaleaceae_UCG-011,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.47794238,-0.443491184,-0.42197122
HMDB0001545,Family_XIII_UCG-001,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.661421356,-0.385010336,-0.263469329
HMDB0001545,GCA-900066575,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.501015254,-0.31120916,-0.094011389
HMDB0001545,Gastranaerophilales,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.619367471,-0.373936208,-0.395499844
HMDB0001545,Lachnospiraceae_UCG-010,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.681421356,-0.455940636,-0.241734913
HMDB0001545,Oscillibacter,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.433333333,-0.502833087,-0.490994674
HMDB0001545,Paraprevotella,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.483333333,-0.321744068,-0.293029059
HMDB0001545,Phascolarctobacterium,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.32,-0.411993281,-0.373050532
HMDB0001545,Prevotellaceae_UCG-003,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.58672954,-0.54297789,-0.174666431
HMDB0001545,Pseudomonas,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.450306794,-0.400771945,-0.398939915
HMDB0001545,Roseburia,pyridoxal,Circulatory system disorder,Cardiovascular,,positive,0.568284103,0.389466126,0.55533103
HMDB0001545,Ruminococcus,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.590710678,-0.350833689,-0.218834697
HMDB0001545,Shewanella,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.45346378,-0.246053385,-0.327060275
HMDB0001545,Slackia,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.48,-0.383466139,-0.330876456
HMDB0001545,Subdoligranulum,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.533333333,-0.502222876,-0.448151386
HMDB0001545,Treponema,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.543876334,-0.317803361,-0.260369077
HMDB0001545,UCG-005,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.61785113,-0.36394426,-0.259497124
HMDB0001545,UCG-009,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.557235437,-0.38940608,-0.357172491
HMDB0001545,Xenorhabdus,pyridoxal,Circulatory system disorder,Cardiovascular,,negative,-0.702481138,-0.304062633,-0.376563499
HMDB0000251,Aeromonas,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.42,-0.418310802,-0.431887994
HMDB0000251,Allisonella,taurine,Circulatory system disorder,Cardiovascular,Odor,positive,0.5,0.407967656,0.510204082
HMDB0000251,Asteroleplasma,taurine,Circulatory system disorder,Cardiovascular,Odor,positive,0.366666667,0.5581265,0.527080627
HMDB0000251,Avibacterium,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.371428571,-0.386757094,-0.497142857
HMDB0000251,Barnesiella,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.44,-0.41772683,-0.474285714
HMDB0000251,Butyricicoccus,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.483333333,-0.634862785,-0.2
HMDB0000251,Butyricimonas,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.44,-0.470406771,-0.36
HMDB0000251,Colidextribacter,taurine,Circulatory system disorder,Cardiovascular,Odor,positive,0.38,0.326631957,0.44
HMDB0000251,Desulfovibrio,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.64,-0.499270142,-0.451428571
HMDB0000251,Monoglobus,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.490710678,-0.358055617,-0.243755365
HMDB0000251,Neisseria,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.58825273,-0.330306035,-0.452480592
HMDB0000251,Treponema,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.635383742,-0.232867406,-0.407501694
HMDB0000251,UCG-009,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.468656793,-0.566398719,-0.388683606
HMDB0000251,Weissella,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.44,-0.463364693,-0.405714286
HMDB0000251,Xenorhabdus,taurine,Circulatory system disorder,Cardiovascular,Odor,negative,-0.645250224,-0.453394714,-0.443865676
HMDB0033209,Agathobacter,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.230259784,0.290352842,0.378146087
HMDB0033209,Allisonella,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.548485521,0.457600492,0.240130126
HMDB0033209,Asteroleplasma,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.402597835,0.401395901,0.384868854
HMDB0033209,Avibacterium,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.424893145,-0.482929092,-0.454425154
HMDB0033209,CAG-352,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.489827921,-0.463813505,-0.484405483
HMDB0033209,Coprococcus,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.597014155,-0.223986091,-0.32843609
HMDB0033209,Defluviitaleaceae_UCG-011,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.542273353,-0.362413246,-0.352526244
HMDB0033209,Elusimicrobium,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.436800705,-0.332602775,-0.385539455
HMDB0033209,Escherichia-Shigella,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.44519567,0.308656515,0.509969505
HMDB0033209,GCA-900066575,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.463117402,0.400136256,0.39810994
HMDB0033209,Herbaspirillum,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.448377741,-0.352696239,-0.426141516
HMDB0033209,Mannheimia,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.399243686,-0.510136925,-0.36380422
HMDB0033209,Megasphaera,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.581725943,0.345420559,0.567572546
HMDB0033209,NK4A214_group,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.40173189,-0.296501204,-0.471491881
HMDB0033209,Odoribacter,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.31441632,-0.332561809,-0.474831639
HMDB0033209,Romboutsia,fenthion,Circulatory system disorder,Cardiovascular,,positive,0.417532612,0.373814146,0.318137892
HMDB0033209,Roseburia,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.335455454,-0.276084942,-0.463159834
HMDB0033209,UCG-005,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.395536012,-0.245473084,-0.32443029
HMDB0033209,Weissella,fenthion,Circulatory system disorder,Cardiovascular,,negative,-0.528313073,-0.473970957,-0.44808859
HMDB0000756,Agathobacter,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.636797114,0.4081993,0.34477591
HMDB0000756,Alistipes,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.496011657,0.302974082,0.421619879
HMDB0000756,Allisonella,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.24,0.279277276,0.369864611
HMDB0000756,Asteroleplasma,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,negative,-0.437013203,-0.26119329,-0.238025059
HMDB0000756,Butyricicoccus,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.491818485,0.327767723,0.201112329
HMDB0000756,CAG-352,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.461558701,0.400530524,0.250707674
HMDB0000756,Coriobacteriaceae_UCG-003,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.519023751,0.4033647,0.243896102
HMDB0000756,Dorea,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.513377186,0.356348141,0.340229569
HMDB0000756,Elusimicrobium,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.5186339,0.272251522,0.210894892
HMDB0000756,Gemmiger,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,negative,-0.52,-0.294535502,-0.484504931
HMDB0000756,Howardella,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.482804819,0.304274055,0.224112166
HMDB0000756,Libanicoccus,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.415737866,0.341566638,0.353794042
HMDB0000756,Monoglobus,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,negative,-0.461421356,-0.53299942,-0.308874462
HMDB0000756,Prevotella,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,negative,-0.594480988,-0.429686446,-0.333681037
HMDB0000756,Shewanella,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,negative,-0.58,-0.535205903,-0.306133391
HMDB0000756,Succinivibrio,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,negative,-0.52,-0.174102877,-0.372930215
HMDB0000756,UCG-005,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.57441632,0.435221391,0.283663682
HMDB0000756,Weissella,hexanoyl-l-carnitine,Circulatory system disorder,Cardiovascular,,positive,0.489773106,0.249849659,0.277455851
HMDB0001848,Agathobacter,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.672338052,0.278479717,0.37466022
HMDB0001848,Allisonella,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.411169903,0.248122991,0.506686137
HMDB0001848,Avibacterium,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.227319195,0.418679097,0.401512119
HMDB0001848,Catenibacterium,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.380106211,-0.434349678,-0.374457271
HMDB0001848,Coprococcus,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.423224904,0.424312829,0.410064842
HMDB0001848,Desulfovibrio,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.570941078,-0.43588637,-0.506499219
HMDB0001848,Elusimicrobium,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.548504971,-0.374248924,-0.250357382
HMDB0001848,Monoglobus,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.502560927,-0.445522465,-0.375228524
HMDB0001848,Muribaculaceae,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.61382808,0.408956326,0.24545924
HMDB0001848,Prevotellaceae_UCG-003,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.431303244,-0.272165402,-0.316120663
HMDB0001848,Rikenellaceae_RC9_gut_group,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.563636969,0.409066811,0.363405468
HMDB0001848,Romboutsia,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.458066562,-0.471190959,-0.215560942
HMDB0001848,Senegalimassilia,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.704096194,0.448878997,0.408404543
HMDB0001848,Solobacterium,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.40201297,-0.418426146,-0.353018656
HMDB0001848,Sutterella,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.43382808,-0.332129433,-0.383308355
HMDB0001848,Treponema,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.507198511,-0.360943172,-0.262381781
HMDB0001848,UCG-003,imipramine,Circulatory system disorder,Cardiovascular,,positive,0.59382808,0.430371444,0.344885689
HMDB0001848,UCG-005,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.373350636,-0.382993933,-0.33017932
HMDB0001848,Weissella,imipramine,Circulatory system disorder,Cardiovascular,,negative,-0.28886281,-0.315426001,-0.39391581
HMDB0032049,Alistipes,benzophenone,Circulatory system disorder,Cardiovascular,Odor,positive,0.417006791,0.359359775,0.506910752
HMDB0032049,Atopobium,benzophenone,Circulatory system disorder,Cardiovascular,Odor,negative,-0.499192233,-0.35901018,-0.213783121
HMDB0032049,Elusimicrobium,benzophenone,Circulatory system disorder,Cardiovascular,Odor,positive,0.447630378,0.208850427,0.454303747
HMDB0032049,Paraprevotella,benzophenone,Circulatory system disorder,Cardiovascular,Odor,positive,0.338931662,0.283504724,0.430892319
HMDB0031804,Allisonella,methomyl,Circulatory system disorder,Cardiovascular,,positive,0.389721171,0.574958951,0.537243341
HMDB0031804,Atopobium,methomyl,Circulatory system disorder,Cardiovascular,,positive,0.45501836,0.67561755,0.257676602
HMDB0031804,Coprococcus,methomyl,Circulatory system disorder,Cardiovascular,,positive,0.454004894,0.424023198,0.325038483
HMDB0031804,Defluviitaleaceae_UCG-011,methomyl,Circulatory system disorder,Cardiovascular,,negative,-0.263751306,-0.461125542,-0.372341562
HMDB0031804,Lachnospira,methomyl,Circulatory system disorder,Cardiovascular,,negative,-0.330887492,-0.527737843,-0.327604033
HMDB0031804,Treponema,methomyl,Circulatory system disorder,Cardiovascular,,negative,-0.235969222,-0.29764856,-0.308939339
HMDB0031804,UCG-009,methomyl,Circulatory system disorder,Cardiovascular,,negative,-0.322996235,-0.435922193,-0.363442269
HMDB0000228,Allisonella,phenol,Circulatory system disorder,Cardiovascular,Odor,positive,0.411963315,0.364919734,0.440956634
HMDB0000228,Anaerobiospirillum,phenol,Circulatory system disorder,Cardiovascular,Odor,negative,-0.514860459,-0.374848488,-0.324945387
HMDB0000228,Asteroleplasma,phenol,Circulatory system disorder,Cardiovascular,Odor,positive,0.307360533,0.397156735,0.326622502
HMDB0000228,Butyricicoccus,phenol,Circulatory system disorder,Cardiovascular,Odor,negative,-0.268343243,-0.364126592,-0.461774336
HMDB0000228,Lactococcus,phenol,Circulatory system disorder,Cardiovascular,Odor,negative,-0.393941793,-0.398746067,-0.369886017
